min_lat,max_lat,min_lon,max_lon,start_datetime,end_datetime,resolution,file_name
30,90,-180,-120,2000-01-01,2009-12-31,month,file_0.nc
30,90,-180,-120,2000-01-01,2009-12-31,year,file_1.nc
30,90,-180,-120,2010-01-01,2019-12-31,day,file_2.nc
30,90,-180,-120,2010-01-01,2019-12-31,month,file_3.nc
30,90,-180,-120,2010-01-01,2019-12-31,year,file_4.nc
30,90,-120,-60,2000-01-01,2009-12-31,month,file_5.nc
30,90,-120,-60,2000-01-01,2009-12-31,year,file_6.nc
30,90,-120,-60,2010-01-01,2019-12-31,day,file_7.nc
30,90,-120,-60,2010-01-01,2019-12-31,month,file_8.nc
30,90,-120,-60,2010-01-01,2019-12-31,year,file_9.nc
30,90,-60,0,2000-01-01,2009-12-31,month,file_10.nc
30,90,-60,0,2000-01-01,2009-12-31,year,file_11.nc
30,90,-60,0,2010-01-01,2019-12-31,day,file_12.nc
30,90,-60,0,2010-01-01,2019-12-31,month,file_13.nc
30,90,-60,0,2010-01-01,2019-12-31,year,file_14.nc
30,90,0,60,2000-01-01,2009-12-31,month,file_15.nc
30,90,0,60,2000-01-01,2009-12-31,year,file_16.nc
30,90,0,60,2010-01-01,2019-12-31,day,file_17.nc
30,90,0,60,2010-01-01,2019-12-31,month,file_18.nc
30,90,0,60,2010-01-01,2019-12-31,year,file_19.nc
30,90,60,120,2000-01-01,2009-12-31,month,file_20.nc
30,90,60,120,2000-01-01,2009-12-31,year,file_21.nc
30,90,60,120,2010-01-01,2019-12-31,day,file_22.nc
30,90,60,120,2010-01-01,2019-12-31,month,file_23.nc
30,90,60,120,2010-01-01,2019-12-31,year,file_24.nc
30,90,120,180,2000-01-01,2009-12-31,month,file_25.nc
30,90,120,180,2000-01-01,2009-12-31,year,file_26.nc
30,90,120,180,2010-01-01,2019-12-31,day,file_27.nc
30,90,120,180,2010-01-01,2019-12-31,month,file_28.nc
30,90,120,180,2010-01-01,2019-12-31,year,file_29.nc
-30,30,-180,-120,2000-01-01,2009-12-31,year,file_30.nc
-30,30,-180,-120,2010-01-01,2019-12-31,month,file_31.nc
-30,30,-180,-120,2010-01-01,2019-12-31,year,file_32.nc
-30,30,-120,-60,2000-01-01,2009-12-31,year,file_33.nc
-30,30,-120,-60,2010-01-01,2019-12-31,month,file_34.nc
-30,30,-120,-60,2010-01-01,2019-12-31,year,file_35.nc
-30,30,-60,0,2000-01-01,2009-12-31,year,file_36.nc
-30,30,-60,0,2010-01-01,2019-12-31,month,file_37.nc
-30,30,-60,0,2010-01-01,2019-12-31,year,file_38.nc
-30,30,0,60,2000-01-01,2009-12-31,year,file_39.nc
-30,30,0,60,2010-01-01,2019-12-31,month,file_40.nc
-30,30,0,60,2010-01-01,2019-12-31,year,file_41.nc
-30,30,60,120,2000-01-01,2009-12-31,year,file_42.nc
-30,30,60,120,2010-01-01,2019-12-31,month,file_43.nc
-30,30,60,120,2010-01-01,2019-12-31,year,file_44.nc
-30,30,120,180,2000-01-01,2009-12-31,year,file_45.nc
-30,30,120,180,2010-01-01,2019-12-31,month,file_46.nc
-30,30,120,180,2010-01-01,2019-12-31,year,file_47.nc
-90,-30,-180,-120,2000-01-01,2009-12-31,year,file_48.nc
-90,-30,-180,-120,2010-01-01,2019-12-31,month,file_49.nc
-90,-30,-180,-120,2010-01-01,2019-12-31,year,file_50.nc
-90,-30,-120,-60,2000-01-01,2009-12-31,year,file_51.nc
-90,-30,-120,-60,2010-01-01,2019-12-31,month,file_52.nc
-90,-30,-120,-60,2010-01-01,2019-12-31,year,file_53.nc
-90,-30,-60,0,2000-01-01,2009-12-31,year,file_54.nc
-90,-30,-60,0,2010-01-01,2019-12-31,month,file_55.nc
-90,-30,-60,0,2010-01-01,2019-12-31,year,file_56.nc
-90,-30,0,60,2000-01-01,2009-12-31,year,file_57.nc
-90,-30,0,60,2010-01-01,2019-12-31,month,file_58.nc
-90,-30,0,60,2010-01-01,2019-12-31,year,file_59.nc
-90,-30,60,120,2000-01-01,2009-12-31,year,file_60.nc
-90,-30,60,120,2010-01-01,2019-12-31,month,file_61.nc
-90,-30,60,120,2010-01-01,2019-12-31,year,file_62.nc
-90,-30,120,180,2000-01-01,2009-12-31,year,file_63.nc
-90,-30,120,180,2010-01-01,2019-12-31,month,file_64.nc
-90,-30,120,180,2010-01-01,2019-12-31,year,file_65.nc
